video,label,id,t_start,t_end,frames
1CV12_7_R_#81,D0X,1,1,17,17
1CV12_7_R_#81,G07,10,18,113,96
1CV12_7_R_#81,B0A,2,114,285,172
1CV12_7_R_#81,G08,11,286,394,109
1CV12_7_R_#81,B0A,2,395,584,190
1CV12_7_R_#81,G02,5,585,702,118
1CV12_7_R_#81,B0B,3,703,861,159
1CV12_7_R_#81,G03,6,862,977,116
1CV12_7_R_#81,B0A,2,978,1198,221
1CV12_7_R_#81,G09,12,1199,1285,87
1CV12_7_R_#81,B0B,3,1286,1518,233
1CV12_7_R_#81,D0X,1,1519,1743,225
1CV12_7_R_#81,G01,4,1744,1836,93
1CV12_7_R_#81,B0B,3,1837,2024,188
1CV12_7_R_#81,D0X,1,2025,2312,288
1CV12_7_R_#81,G05,8,2313,2394,82
1CV12_7_R_#81,B0B,3,2395,2578,184
1CV12_7_R_#81,D0X,1,2579,2716,138
1CV12_7_R_#81,G11,14,2717,2780,64
1CV12_7_R_#81,B0A,2,2781,2978,198
1CV12_7_R_#81,G06,9,2979,3068,90
1CV12_7_R_#81,B0B,3,3069,3274,206
1CV12_7_R_#81,G10,13,3275,3392,118
1CV12_7_R_#81,B0A,2,3393,3564,172
1CV12_7_R_#81,G04,7,3565,3641,77
1CV12_7_R_#81,D0X,1,3642,3673,32
1CV12_7_R_#82,D0X,1,1,46,46
1CV12_7_R_#82,G09,12,47,161,115
1CV12_7_R_#82,B0B,3,162,371,210
1CV12_7_R_#82,G06,9,372,490,119
1CV12_7_R_#82,B0A,2,491,684,194
1CV12_7_R_#82,G10,13,685,784,100
1CV12_7_R_#82,B0B,3,785,958,174
1CV12_7_R_#82,D0X,1,959,1160,202
1CV12_7_R_#82,G07,10,1161,1285,125
1CV12_7_R_#82,B0A,2,1286,1476,191
1CV12_7_R_#82,G08,11,1477,1591,115
1CV12_7_R_#82,B0A,2,1592,1746,155
1CV12_7_R_#82,D0X,1,1747,1935,189
1CV12_7_R_#82,G05,8,1936,2045,110
1CV12_7_R_#82,B0B,3,2046,2228,183
1CV12_7_R_#82,G02,5,2229,2330,102
1CV12_7_R_#82,B0B,3,2331,2521,191
1CV12_7_R_#82,G11,14,2522,2610,89
1CV12_7_R_#82,B0A,2,2611,2786,176
1CV12_7_R_#82,D0X,1,2787,2934,148
1CV12_7_R_#82,G01,4,2935,3020,86
1CV12_7_R_#82,B0B,3,3021,3195,175
1CV12_7_R_#82,G03,6,3196,3304,109
1CV12_7_R_#82,B0A,2,3305,3481,177
1CV12_7_R_#82,G04,7,3482,3578,97
1CV12_7_R_#82,D0X,1,3579,3637,59
1CV12_7_R_#83,D0X,1,1,27,27
1CV12_7_R_#83,G07,10,28,152,125
1CV12_7_R_#83,B0B,3,153,329,177
1CV12_7_R_#83,G03,6,330,468,139
1CV12_7_R_#83,B0B,3,469,636,168
1CV12_7_R_#83,G09,12,637,745,109
1CV12_7_R_#83,B0A,2,746,935,190
1CV12_7_R_#83,G08,11,936,1058,123
1CV12_7_R_#83,B0B,3,1059,1217,159
1CV12_7_R_#83,G06,9,1218,1326,109
1CV12_7_R_#83,B0A,2,1327,1505,179
1CV12_7_R_#83,D0X,1,1506,1704,199
1CV12_7_R_#83,G11,14,1705,1799,95
1CV12_7_R_#83,B0B,3,1800,1957,158
1CV12_7_R_#83,D0X,1,1958,2119,162
1CV12_7_R_#83,G10,13,2120,2208,89
1CV12_7_R_#83,B0B,3,2209,2375,167
1CV12_7_R_#83,G05,8,2376,2540,165
1CV12_7_R_#83,B0A,2,2541,2720,180
1CV12_7_R_#83,G02,5,2721,2823,103
1CV12_7_R_#83,B0A,2,2824,2979,156
1CV12_7_R_#83,D0X,1,2980,3186,207
1CV12_7_R_#83,G04,7,3187,3346,160
1CV12_7_R_#83,B0A,2,3347,3556,210
1CV12_7_R_#83,G01,4,3557,3642,86
1CV12_7_R_#83,D0X,1,3643,3690,48
1CV12_7_R_#84,D0X,1,1,25,25
1CV12_7_R_#84,G11,14,26,146,121
1CV12_7_R_#84,B0B,3,147,374,228
1CV12_7_R_#84,G01,4,375,486,112
1CV12_7_R_#84,B0B,3,487,683,197
1CV12_7_R_#84,G03,6,684,800,117
1CV12_7_R_#84,B0A,2,801,987,187
1CV12_7_R_#84,G02,5,988,1104,117
1CV12_7_R_#84,B0A,2,1105,1264,160
1CV12_7_R_#84,D0X,1,1265,1527,263
1CV12_7_R_#84,G10,13,1528,1620,93
1CV12_7_R_#84,B0A,2,1621,1794,174
1CV12_7_R_#84,D0X,1,1795,2038,244
1CV12_7_R_#84,G08,11,2039,2169,131
1CV12_7_R_#84,B0B,3,2170,2335,166
1CV12_7_R_#84,D0X,1,2336,2544,209
1CV12_7_R_#84,G07,10,2545,2695,151
1CV12_7_R_#84,B0A,2,2696,2907,212
1CV12_7_R_#84,G05,8,2908,3025,118
1CV12_7_R_#84,B0B,3,3026,3221,196
1CV12_7_R_#84,G09,12,3222,3343,122
1CV12_7_R_#84,B0A,2,3344,3523,180
1CV12_7_R_#84,G04,7,3524,3640,117
1CV12_7_R_#84,B0B,3,3641,3817,177
1CV12_7_R_#84,G06,9,3818,3903,86
1CV12_7_R_#84,D0X,1,3904,3931,28
1CV12_8_R_#85,D0X,1,1,79,79
1CV12_8_R_#85,G10,13,80,127,48
1CV12_8_R_#85,D0X,1,128,196,69
1CV12_8_R_#85,B0B,3,197,345,149
1CV12_8_R_#85,D0X,1,346,400,55
1CV12_8_R_#85,G07,10,401,442,42
1CV12_8_R_#85,D0X,1,443,525,83
1CV12_8_R_#85,B0B,3,526,668,143
1CV12_8_R_#85,D0X,1,669,758,90
1CV12_8_R_#85,G09,12,759,796,38
1CV12_8_R_#85,D0X,1,797,885,89
1CV12_8_R_#85,B0B,3,886,1036,151
1CV12_8_R_#85,D0X,1,1037,1102,66
1CV12_8_R_#85,G02,5,1103,1134,32
1CV12_8_R_#85,D0X,1,1135,1217,83
1CV12_8_R_#85,B0B,3,1218,1371,154
